flight_id,origin,destination,depart_date,base_fare,seats_remaining,capacity,demand_index,season
PA1027,YYZ,YVR,2026-12-09,349.0,45,78,1.029,winter
PA1028,YYZ,LAX,2027-07-24,389.0,92,137,1.087,summer
PA1029,YYZ,MIA,2027-06-19,299.0,88,137,1.056,summer
PA1030,YYZ,CUN,2027-09-05,329.0,44,78,0.967,fall
PA1031,YYZ,LHR,2027-02-05,649.0,105,189,1.181,winter
PA1032,YYZ,YUL,2027-05-02,119.0,90,137,0.808,spring
PA1033,YYZ,JFK,2027-02-03,229.0,99,189,1.334,winter
PA1034,YYZ,ORD,2026-11-15,199.0,64,189,1.127,fall
PA1035,YYZ,YVR,2027-06-08,349.0,110,189,0.965,summer
PA1036,YYZ,LAX,2027-06-25,389.0,41,78,1.146,summer
PA1037,YYZ,MIA,2027-07-25,299.0,49,78,1.0,summer
PA1038,YYZ,CUN,2027-02-26,329.0,88,137,0.925,winter
PA1039,YYZ,LHR,2026-11-01,649.0,88,189,1.198,fall
PA1040,YYZ,YUL,2027-06-21,119.0,43,78,0.818,summer
PA1041,YYZ,JFK,2027-06-30,229.0,90,137,1.304,summer
PA1042,YYZ,ORD,2027-04-26,199.0,99,189,1.199,spring
PA1043,YYZ,YVR,2027-09-10,349.0,122,189,0.981,fall
PA1044,YYZ,LAX,2027-08-20,389.0,117,189,1.144,summer
PA1045,YYZ,MIA,2026-11-22,299.0,88,137,1.004,fall
PA1046,YYZ,CUN,2027-07-20,329.0,46,78,0.958,summer
PA1047,YYZ,LHR,2026-10-28,649.0,29,78,1.147,fall
PA1048,YYZ,YUL,2026-10-08,119.0,11,78,0.814,fall
PA1049,YYZ,JFK,2027-02-11,229.0,45,78,1.263,winter
PA1050,YYZ,ORD,2027-07-11,199.0,46,78,1.12,summer
PA1051,YYZ,YVR,2027-04-18,349.0,89,137,0.96,spring
PA1052,YYZ,LAX,2027-03-22,389.0,84,137,1.096,spring
PA1053,YYZ,MIA,2026-10-19,299.0,33,189,1.101,fall
PA1054,YYZ,CUN,2026-10-23,329.0,32,78,0.935,fall
PA1055,YYZ,LHR,2027-01-27,649.0,51,78,1.204,winter
PA1056,YYZ,YUL,2027-04-26,119.0,51,78,0.847,spring
PA1057,YYZ,JFK,2027-05-06,229.0,43,78,1.346,spring
PA1058,YYZ,ORD,2026-10-17,199.0,14,78,1.155,fall
PA1059,YYZ,YVR,2026-11-08,349.0,26,78,1.035,fall
PA1060,YYZ,LAX,2027-04-18,389.0,47,78,1.069,spring
PA1061,YYZ,MIA,2026-10-22,299.0,62,137,0.998,fall
PA1062,YYZ,CUN,2027-02-04,329.0,73,137,0.977,winter
PA1063,YYZ,LHR,2027-04-26,649.0,78,137,1.228,spring
PA1064,YYZ,YUL,2027-08-26,119.0,107,189,0.821,summer
PA1065,YYZ,JFK,2027-01-11,229.0,72,137,1.31,winter
PA1066,YYZ,ORD,2026-10-23,199.0,68,189,1.099,fall
PA1067,YYZ,YVR,2027-05-24,349.0,113,189,1.035,spring
PA1068,YYZ,LAX,2026-10-21,389.0,10,78,1.054,fall
PA1069,YYZ,MIA,2026-10-27,299.0,30,78,1.068,fall
PA1070,YYZ,CUN,2027-04-16,329.0,52,78,0.987,spring
PA1071,YYZ,LHR,2027-07-15,649.0,46,78,1.214,summer
PA1072,YYZ,YUL,2027-08-24,119.0,80,137,0.852,summer
PA1073,YYZ,JFK,2027-01-04,229.0,78,137,1.276,winter
PA1074,YYZ,ORD,2027-04-12,199.0,90,137,1.167,spring
PA1075,YYZ,YVR,2027-03-02,349.0,73,137,1.044,spring
PA1076,YYZ,LAX,2027-05-14,389.0,45,78,1.107,spring
PA1077,YYZ,MIA,2026-10-29,299.0,31,78,1.051,fall
PA1078,YYZ,CUN,2027-03-19,329.0,42,78,0.986,spring
PA1079,YYZ,LHR,2027-02-14,649.0,90,137,1.24,winter
PA1080,YYZ,YUL,2027-02-23,119.0,110,189,0.891,winter
PA1081,YYZ,JFK,2027-06-19,229.0,128,189,1.341,summer
PA1082,YYZ,ORD,2027-08-27,199.0,91,137,1.193,summer
PA1083,YYZ,YVR,2026-11-20,349.0,46,137,1.024,fall
PA1084,YYZ,LAX,2027-02-08,389.0,50,78,1.068,winter
PA1085,YYZ,MIA,2027-01-04,299.0,78,137,1.087,winter
PA1086,YYZ,CUN,2027-05-30,329.0,121,189,0.989,spring
PA1087,YYZ,LHR,2026-11-08,649.0,30,78,1.24,fall
PA1088,YYZ,YUL,2026-09-23,119.0,18,78,0.819,fall
PA1089,YYZ,JFK,2026-12-13,229.0,77,137,1.307,winter
PA1090,YYZ,ORD,2027-07-06,199.0,93,137,1.101,summer
PA1091,YYZ,YVR,2026-12-07,349.0,112,189,1.033,winter
PA1092,YYZ,LAX,2027-07-01,389.0,124,189,1.059,summer
PA1093,YYZ,MIA,2027-03-27,299.0,73,137,1.081,spring
PA1094,YYZ,CUN,2027-03-24,329.0,50,78,0.926,spring
PA1095,YYZ,LHR,2027-03-22,649.0,43,78,1.246,spring
PA1096,YYZ,YUL,2027-08-05,119.0,77,137,0.886,summer
PA1097,YYZ,JFK,2026-12-14,229.0,41,78,1.34,winter
PA1098,YYZ,ORD,2026-10-04,199.0,34,137,1.199,fall
PA1099,YYZ,YVR,2027-08-30,349.0,74,137,1.031,summer
